coder,response_uuid,child_hashed_id,frame_id,videoShown,audioPlayed,frame_duration_stimuli,frame_duration_respond,frame_duration_transcribe,event0_timestamp,parent_transcription,response_video_file,session_order,trial_num,trial_type,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,notes_trial
sienna/lia,c2e628f8-f22a-4c30-af7d-af6706a667d1,ZRVXUF,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,Uh oh,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,UH OH X8,n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,meow,,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,MEOW MEOW,y,y,NA,NA,NA,y,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,bus,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,BUS [points at screen]; BUS,y,y,NA,NA,NA,y,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,nothing,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,nothing,,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,uh oh,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,UH OH [points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,"""hippo""",,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[points at screen] unintelligible HIPPO,n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,uh oh,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,SEE; UH OH,n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,uh oh,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible; UH OH,n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,meme,,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,"YA unintelligible [mom says, ""Bunny, say bunny.""] unintelligible",n,n,NA,NA,NA,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,row,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[points as screen] ROW,n,n,NA,NA,NA,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,nothing,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,"nothing, ""yeah""",,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[points at screen] YA [points at screen] YA,n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,daddy,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,nothing,,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
